X,Y,id,Nombre,icon_url
-85.5724749184944,10.6560025164709,,La Flor,./0.png
-85.6042738928887,10.6564265027962,,Carmen,./0.png
-85.6339529356567,10.6916173677925,,Sta Maria,./0.png
-85.6322569903556,10.7085768208028,,La Trinidad,./0.png
-85.6267451681273,10.7263842464636,,El Jobo,./0.png
-85.6250492228263,10.7450396447749,,El Paparro,./0.png
-85.6292890860788,10.7700548379651,,Naranjo,./0.png
-85.6305610450546,10.8022777986846,,Guapote,./0.png
-85.6487924570407,10.6649062293013,,Carfura,./0.png
-85.6589681288468,10.6483707626163,,Jicaro,./0.png
-85.5241404774151,10.750127480678,,Los Ahogados,./0.png
-85.4664783371802,10.7590311935084,,Cañas Dulces,./0.png
-85.3651456054437,10.7348639729687,,Santa Maria,./0.png
-85.4779259679621,10.8107575251897,,Potrerillos,./0.png
-85.5559394518094,10.7853183456743,,La Esperanza,./0.png
-85.5843465356017,11.0252946057698,,El Amo,./0.png
-85.6725356912551,11.0723570878733,,La Cruz,./0.png
-85.6924630485422,11.0753249921501,,Conventillos,./0.png
-85.2595730104548,10.5292306052191,,Bagaces,./0.png
-85.1976710069673,10.555517757385,,Cofradia,./0.png
-85.1993669522683,10.5296545915443,,Montenegro,./0.png
-85.3363145353263,10.4503691487213,,Ciruelas,./0.png
-85.2129345146765,10.3070617707844,,Taboga,./0.png
-85.2828922583439,10.3087577160855,,Catalina,./0.png
-85.2014868838945,10.3418286494555,,Bebedero,./0.png
-85.1328010992029,10.3876191725833,,Hotel,./0.png
-85.089978480352,10.4240819965554,,Cañas,./0.png
-85.3520020293608,10.2502476032,,Pozo Agua,./0.png
-85.2693246959356,10.2489756442242,,Coyolar,./0.png
-85.4821658312146,10.3982188307147,,El Viejo,./0.png
-85.4830138038651,10.3698117469225,,Ballena,./0.png
-85.5991860569856,10.3977948443894,,Belen,./0.png
-85.5979140980098,10.3799874187286,,Palma,./0.png
-85.4847097491662,10.3613320204173,,Bolson,./0.png
-85.5211725731383,10.3257171690957,,Cacao,./0.png
-85.5860424809026,10.2663590835598,,Santa Cruz,./0.png
-85.4410391576647,10.2811986049437,,Talolinga,./0.png
-85.3642976327932,10.2807746186185,,Humo,./0.png
-85.4054243063431,10.3117256203622,,Palo Verde,./0.png
-85.446550979893,10.4016107213167,,Naranjo,./0.png
-85.3702334413468,10.4486732034203,,Cortes,./0.png
-85.3023956293057,10.4652086701053,,Mogote,./0.png
-85.3312266994231,10.5105752069078,,Coyolar,./0.png
-85.3503060840597,10.5453420855789,,Pijije,./0.png
-85.3935526892359,10.5737491693711,,El Salto,./0.png
-85.4444310482668,10.6326832685818,,Liberia,./0.png
-85.6051218655392,10.5512778941324,,Guardia,./0.png
-85.6195374005979,10.5517018804577,,Zapal,./0.png
-85.6623600194489,10.4987035898006,,Sardinal,./0.png
-85.6025779475876,10.5046393983542,,Palmira,./0.png
-85.6928870348674,10.5724772103953,,El Coco,./0.png
-85.5796826860238,10.4372255726383,,Filadelfia,./0.png
-85.5962181527088,10.4897998769702,,Tempisque,./0.png
-85.7374055990194,10.4859840000429,,Nuevo Colon,./0.png
-85.756484983656,10.4329857093858,,Tempate,./0.png
-85.614175464161,10.8315311989311,,Santa Rosa,./0.png
-85.576864667538,10.84594673399,,Pelon,./0.png
-85.6188393137389,10.9990057974094,,Obispo,./0.png
-85.6112075598842,11.0223250452988,,Pocitos,./0.png
-85.5853443940432,11.0524280743924,,Hacha,./0.png
-85.6298629581957,11.0748993496312,,Sapoa,./0.png
-85.6116315462094,11.2033672061855,,Peñas Blancas,./0.png
-85.426829455019,10.7649406981884,,Guachipelin,./0.png
-85.3888947747034,10.7503087500667,,La Fortuna,./0.png
-85.0710563460591,10.5522355264188,,Tenorio,./0.png
-84.9767615692746,10.4601084456524,,Tilaran,./0.png
-84.9913935173964,10.4774500137967,,Santa Rosa,./0.png
-84.9941031374189,10.5048171760243,,Quebrada Azul,./0.png
-84.9334076489139,10.4284058913886,,Lombarddia,./0.png
-85.1932602090758,10.6145567869373,,Montano,./0.png
-85.2544976215853,10.6530333912574,,Monteverde,./0.png
-85.2886388338693,10.6617041753296,,Miravalles,./0.png
-85.2843034418332,10.4947915819409,,Santa Isabel,./0.png
-85.5670946289984,10.2214205581353,,San Juan,./0.png
-85.4348651718983,10.1005715051299,,Nicoya,./0.png
-85.4012658836188,10.1482608175266,,San Antonio,./0.png
-85.3676665953393,10.1954082059189,,Corralillo,./0.png
-85.6771052019137,10.390500847542,,Arenal,./0.png
-85.7204591222744,10.3829139114789,,Portegolpe,./0.png
-85.7231687422969,10.3466050031768,,Hatillo,./0.png
-85.7443037784728,10.330889207046,,S. Francisco,./0.png
-85.7963284829056,10.3357665230866,,Sta Rosa,./0.png
-85.7876576988335,10.3812881394653,,Zapote,./0.png
-85.8239666071355,10.3980877836051,,Pto Viejo,./0.png
-85.6001519932734,10.2512263783833,,Arado,./0.png
-85.6239966494718,10.2723614145591,,Lagunilla,./0.png
-85.66464094981,10.2550198464148,,27 Abril,./0.png
-85.6993240860985,10.2197947861218,,Rio Seco,./0.png
-85.7876576988334,10.110326137211,,Playa Real,./0.png
-85.8472693393294,10.2723614145591,,Icaral,./0.png
-85.6651828738145,9.97647090809738,,Ostional,./0.png
-85.6087211665947,11.1052986094889,,Las Animas,./0.png
-85.5095490737696,10.8329817972233,,,./0.png
-85.5599480061889,10.8427364293045,,,./0.png
-85.6173919506668,10.5715034650479,,,./0.png
-85.1556726988255,10.4154293517494,,Paso Hondo,./0.png
